Shot Type	First_Part	Second_Part	Third_Part	First_Part_%	Second_Part_%	Third_Part_%	Percentage_Diff
網前小球	16097	16181	16841	27.64	28.75	30.13	2.49
挑球	10557	10047	10322	18.13	17.85	18.47	0.34
殺球	7011	6761	6973	12.04	12.01	12.47	0.43
長球	6541	5886	5469	11.23	10.46	9.78	-1.45
切球	6182	5473	5225	10.61	9.73	9.35	-1.26
推撲球	3577	3663	3622	6.14	6.51	6.48	0.34
發短球	3345	3402	3143	5.74	6.05	5.62	-0.12
平球	2026	2344	2364	3.48	4.17	4.23	0.75
發長球	1849	1417	1101	3.17	2.52	1.97	-1.2
未知	1059	1101	840	1.82	1.96	1.5	-0.32
