rally_id,out
1352,1
1353,0
1354,0
1355,0
1356,0
1357,0
1358,1
1359,1
1360,0
1361,0
1362,1
1363,1
1364,0
1365,0
1366,0
1367,0
1368,1
1369,0
1370,1
1371,1
1372,1
1373,0
1374,0
1375,0
1376,0
1377,0
1378,1
1379,0
1380,0
1381,0
1382,0
1383,0
1384,0
1385,1
1386,1
1387,0
1414,1
1415,0
1416,0
1417,1
1418,0
1419,1
1420,0
1421,1
1422,0
1423,1
1424,1
1425,0
1426,0
1427,0
1428,1
1429,0
1430,1
1431,1
1432,0
1433,0
1434,0
1435,0
1436,0
1437,0
1438,0
1439,1
1440,1
1441,0
1442,0
1443,0
1444,0
1445,0
1446,0
1447,0
1448,0
1449,0
1450,0
1451,0
1452,0
1453,1
1454,1
1455,0
1456,0
1457,0
1458,1
1459,0
1460,0
1461,0
1462,0
1463,0
1464,1
1465,1
1466,0
1467,1
1468,1
1469,0
1470,0
1471,0
1472,0
1473,0
1474,0
1475,1
1476,0
1477,0
1478,1
1479,0
1480,0
1481,0
1482,1
1483,1
1484,0
1485,1
1486,0
1487,1
1488,0
1489,1
1490,0
1491,0
1492,1
1493,0
1494,1
1495,0
1496,0
1497,1
1498,1
1499,1
1500,0
1501,0
1502,1
1503,0
1504,0
1505,0
1506,1
1507,0
1508,0
1509,0
1510,1
1511,1
1512,1
1513,0
1514,0
1515,0
1516,0
1517,0
1518,0
1519,1
1520,0
1521,0
1522,0
1523,0
1524,0
1525,0
1526,1
1527,0
1528,0
1529,0
1530,0
1531,0
1532,1
1533,0
1534,0
1535,0
1536,0
1537,0
1538,1
1539,0
1540,0
1541,0
1542,1
1543,1
1544,1
1545,0
1546,0
1547,0
1548,0
1549,0
1550,0
1551,1
1552,-1
1553,0
1554,-1
1555,0
1556,0
1557,0
1558,0
1559,-1
1560,0
1561,1
1562,1
1563,0
1564,0
1565,0
1566,1
1567,1
1568,0
1569,0
1570,0
1571,0
1572,0
1573,1
1574,0
1575,0
1576,0
1577,0
1578,0
1579,1
1580,1
1581,1
1582,0
1583,0
1584,0
1585,0
1586,0
1587,0
1588,0
1589,0
1590,0
1591,0
1592,0
1593,1
1719,1
1720,0
1721,0
1722,0
1723,1
1724,0
1725,0
1726,0
1727,1
1728,0
1729,0
1730,0
1731,1
1732,1
1733,0
1734,0
1735,0
1736,1
1737,0
1738,1
1739,1
1740,1
1741,0
1742,0
1743,1
1744,1
1745,1
1746,0
1747,0
1748,1
