rally_id,winning
1352,0
1353,0
1354,0
1355,1
1356,1
1357,0
1358,0
1359,0
1360,1
1361,0
1362,0
1363,0
1364,1
1365,1
1366,0
1367,0
1368,0
1369,1
1370,0
1371,0
1372,0
1373,0
1374,0
1375,0
1376,0
1377,0
1378,0
1379,0
1380,1
1381,1
1382,0
1383,1
1384,1
1385,0
1386,0
1387,0
1414,0
1415,1
1416,1
1417,0
1418,1
1419,0
1420,1
1421,0
1422,0
1423,0
1424,0
1425,0
1426,1
1427,1
1428,0
1429,1
1430,0
1431,0
1432,0
1433,1
1434,1
1435,0
1436,1
1437,1
1438,1
1439,0
1440,0
1441,0
1442,1
1443,0
1444,1
1445,0
1446,0
1447,1
1448,1
1449,1
1450,0
1451,0
1452,0
1453,0
1454,0
1455,0
1456,0
1457,1
1458,0
1459,1
1460,1
1461,0
1462,1
1463,0
1464,0
1465,0
1466,1
1467,0
1468,0
1469,1
1470,1
1471,1
1472,0
1473,0
1474,1
1475,0
1476,0
1477,1
1478,0
1479,0
1480,1
1481,1
1482,0
1483,0
1484,0
1485,0
1486,1
1487,0
1488,0
1489,0
1490,0
1491,0
1492,0
1493,1
1494,0
1495,1
1496,1
1497,0
1498,0
1499,0
1500,0
1501,0
1502,0
1503,0
1504,1
1505,0
1506,0
1507,0
1508,0
1509,0
1510,0
1511,0
1512,0
1513,1
1514,0
1515,0
1516,1
1517,1
1518,0
1519,0
1520,0
1521,0
1522,1
1523,1
1524,0
1525,0
1526,0
1527,1
1528,1
1529,1
1530,0
1531,0
1532,0
1533,1
1534,0
1535,1
1536,1
1537,0
1538,0
1539,1
1540,1
1541,1
1542,0
1543,0
1544,0
1545,0
1546,1
1547,0
1548,0
1549,0
1550,0
1551,0
1552,-1
1553,1
1554,-1
1555,1
1556,0
1557,0
1558,1
1559,-1
1560,1
1561,0
1562,0
1563,0
1564,0
1565,0
1566,0
1567,0
1568,1
1569,1
1570,1
1571,1
1572,1
1573,0
1574,1
1575,1
1576,0
1577,0
1578,1
1579,0
1580,0
1581,0
1582,1
1583,0
1584,0
1585,0
1586,1
1587,1
1588,1
1589,0
1590,0
1591,1
1592,1
1593,0
1719,0
1720,0
1721,1
1722,0
1723,0
1724,0
1725,1
1726,0
1727,0
1728,0
1729,1
1730,1
1731,0
1732,0
1733,1
1734,1
1735,0
1736,0
1737,1
1738,0
1739,0
1740,0
1741,0
1742,0
1743,0
1744,0
1745,0
1746,1
1747,1
1748,0
1749,1
1750,0
1751,0
1752,0
1753,1
1754,0
1755,1
1756,1
1757,0
1758,0
1759,0
1760,0
1761,0
1762,0
1763,1
1764,1
1765,0
1766,0
1767,0
1768,0
1769,1
1770,0
1771,0
1772,0
1773,1
1774,1
1775,0
1776,1
1777,1
1778,0
1779,0
1780,0
1781,1
1782,0
1783,0
1784,0
1785,0
1786,0
1787,1
1788,1
1789,1
1790,0
1791,1
1792,1
1793,0
1794,1
1795,1
1796,1
1797,0
1798,0
1799,0
1800,0
1801,0
1802,1
1803,0
1804,0
1805,0
1806,1
1807,1
1808,1
1809,1
1810,0
1811,1
1812,1
1813,1
1814,1
1815,1
1816,0
1817,0
1818,1
1819,0
1820,0
1821,0
1822,0
1823,1
1824,1
1825,0
1826,0
1827,0
1828,1
1829,0
1830,1
1831,1
1832,0
1833,0
1834,1
1835,1
1836,0
1837,1
1838,1
1839,0
1840,1
1841,0
1842,0
1843,0
1844,1
1845,1
1846,0
1847,1
1848,1
1849,1
1850,1
1851,1
1852,1
1853,0
1854,0
1855,0
1856,0
1857,0
1858,0
1859,0
1860,0
1861,1
